"contig","metabat.1","metabat.4"
"contig_1",13,15
"contig_10",0,0
"contig_100",3,3
"contig_1000",7,8
"contig_10000",0,0
"contig_10001",20,20
"contig_10002",20,20
"contig_10003",0,0
"contig_10004",0,0
"contig_10005",0,0
"contig_10006",23,22
"contig_10007",11,11
"contig_10008",32,0
"contig_10009",0,0
"contig_1001",0,0
"contig_10010",0,0
"contig_10011",0,0
"contig_10012",0,0
"contig_10013",31,32
"contig_10014",0,0
"contig_10015",24,23
"contig_10016",0,0
"contig_10017",0,0
"contig_10018",0,0
"contig_10019",29,24
"contig_1002",0,0
"contig_10020",0,0
"contig_10021",11,11
"contig_10022",0,0
"contig_10023",0,0
"contig_10024",0,0
"contig_10025",0,0
"contig_10026",0,0
"contig_10027",0,0
"contig_10028",0,0
"contig_10029",0,0
"contig_1003",17,17
"contig_10030",0,0
"contig_10031",23,22
"contig_10032",0,0
"contig_10033",0,0
"contig_10034",0,0
"contig_10035",0,0
"contig_10036",11,11
"contig_10037",20,20
"contig_10038",0,0
"contig_10039",0,0
"contig_1004",20,20
"contig_10040",0,0
"contig_10041",0,0
"contig_10042",10,9
"contig_10043",23,22
"contig_10044",0,0
"contig_10045",0,0
"contig_10046",0,0
"contig_10047",0,0
"contig_10048",0,0
"contig_10049",0,0
"contig_1005",7,8
"contig_10050",20,20
"contig_10051",0,0
"contig_10052",20,20
"contig_10053",26,26
"contig_10054",33,33
"contig_10055",0,0
"contig_10056",0,0
"contig_10057",0,0
"contig_10058",31,32
"contig_10059",0,0
"contig_1006",7,8
"contig_10060",0,0
"contig_10061",0,0
"contig_10062",0,0
"contig_10063",0,0
"contig_10064",29,29
"contig_10065",0,0
"contig_10066",0,0
"contig_10067",19,19
"contig_10068",0,0
"contig_10069",0,0
"contig_1007",0,0
"contig_10070",0,0
"contig_10071",0,0
"contig_10072",0,0
"contig_10073",16,16
"contig_10074",0,0
"contig_10075",24,23
"contig_10076",0,0
"contig_10077",0,0
"contig_10078",0,0
"contig_10079",0,0
"contig_1008",0,0
"contig_10080",0,0
"contig_10081",0,0
"contig_10082",20,20
"contig_10083",0,0
"contig_10084",19,19
"contig_10085",0,0
"contig_10086",0,0
"contig_10087",0,0
"contig_10088",0,0
"contig_10089",0,0
"contig_1009",7,8
"contig_10090",0,0
"contig_10091",0,0
"contig_10092",0,0
"contig_10093",0,0
"contig_10094",0,0
"contig_10095",31,32
"contig_10096",0,0
"contig_10097",31,32
"contig_10098",0,0
"contig_10099",0,30
