"CONTIG","MB.VERYSENSTIVE","MB.SENSITIVE","MB.SUPERSPECIFIC","CORRELATION_ABUNDANCIES","KMEANS_ABUNDANCIES_90"
"A_C_D_contig_1",4,4,5,1,62
"A_C_D_contig_10",6,6,8,6,75
"A_C_D_contig_100",103,103,122,2,48
"A_C_D_contig_1000",1,1,1,1,62
"A_C_D_contig_10000",6,6,8,6,14
"A_C_D_contig_10001",0,0,0,5,89
"A_C_D_contig_10002",28,37,47,6,46
"A_C_D_contig_10003",77,80,92,1,83
"A_C_D_contig_10004",46,62,57,8,36
"A_C_D_contig_10005",25,60,33,3,32
"A_C_D_contig_10006",77,80,85,1,80
"A_C_D_contig_10007",51,0,0,6,26
"A_C_D_contig_10008",0,0,0,6,19
"A_C_D_contig_10009",0,0,0,3,41
"A_C_D_contig_1001",50,41,25,3,39
"A_C_D_contig_10010",54,51,63,7,54
"A_C_D_contig_10011",0,0,0,5,42
"A_C_D_contig_10012",8,10,11,3,23
"A_C_D_contig_10013",0,0,0,6,71
"A_C_D_contig_10014",0,0,0,7,75
"A_C_D_contig_10015",0,0,0,6,86
"A_C_D_contig_10016",0,0,0,6,13
"A_C_D_contig_10017",0,0,0,5,4
"A_C_D_contig_10018",40,30,51,2,88
"A_C_D_contig_10019",77,80,92,1,80
"A_C_D_contig_1002",52,49,50,6,19
"A_C_D_contig_10020",51,48,62,6,71
"A_C_D_contig_10021",52,49,77,6,71
"A_C_D_contig_10022",0,0,0,5,73
"A_C_D_contig_10023",0,0,0,3,81
"A_C_D_contig_10024",78,81,96,4,74
"A_C_D_contig_10025",11,12,15,3,16
"A_C_D_contig_10026",59,58,72,3,7
"A_C_D_contig_10027",0,103,102,8,53
"A_C_D_contig_10028",51,0,0,6,71
"A_C_D_contig_10029",0,0,0,5,26
"A_C_D_contig_1003",3,3,3,1,62
"A_C_D_contig_10030",28,37,47,6,40
"A_C_D_contig_10031",37,36,44,5,46
"A_C_D_contig_10032",94,76,107,4,74
"A_C_D_contig_10033",0,0,0,3,41
"A_C_D_contig_10034",74,82,89,3,34
"A_C_D_contig_10035",77,80,85,1,80
"A_C_D_contig_10036",37,36,61,5,46
"A_C_D_contig_10037",47,64,53,5,46
"A_C_D_contig_10038",97,96,110,3,5
"A_C_D_contig_10039",15,17,20,4,29
"A_C_D_contig_1004",49,47,60,5,86
"A_C_D_contig_10040",13,12,18,3,45
"A_C_D_contig_10041",0,0,0,6,6
"A_C_D_contig_10042",0,0,0,3,16
"A_C_D_contig_10043",0,0,0,2,82
"A_C_D_contig_10044",74,82,89,2,20
"A_C_D_contig_10045",0,0,0,2,35
"A_C_D_contig_10046",0,0,0,4,39
"A_C_D_contig_10047",0,0,0,6,19
"A_C_D_contig_10048",88,103,94,2,59
"A_C_D_contig_10049",0,0,0,2,58
"A_C_D_contig_1005",69,0,86,2,52
"A_C_D_contig_10050",0,0,0,3,34
"A_C_D_contig_10051",0,0,0,5,63
"A_C_D_contig_10052",0,0,0,8,25
"A_C_D_contig_10053",62,73,79,2,31
"A_C_D_contig_10054",77,80,85,1,80
"A_C_D_contig_10055",64,66,81,2,20
"A_C_D_contig_10056",26,27,34,3,47
"A_C_D_contig_10057",54,51,63,7,54
"A_C_D_contig_10058",0,0,0,3,88
"A_C_D_contig_10059",0,0,0,6,8
"A_C_D_contig_1006",76,0,64,8,7
"A_C_D_contig_10060",0,0,0,3,32
"A_C_D_contig_10061",0,0,0,6,54
"A_C_D_contig_10062",25,26,33,3,76
"A_C_D_contig_10063",0,0,0,2,52
"A_C_D_contig_10064",103,103,120,3,52
"A_C_D_contig_10065",51,53,64,6,71
"A_C_D_contig_10066",0,0,0,2,52
"A_C_D_contig_10067",12,13,16,2,45
"A_C_D_contig_10068",0,0,0,2,31
"A_C_D_contig_10069",0,0,0,5,29
"A_C_D_contig_1007",0,0,0,6,19
"A_C_D_contig_10070",0,0,0,7,11
"A_C_D_contig_10071",0,0,0,7,51
"A_C_D_contig_10072",57,90,104,3,32
"A_C_D_contig_10073",0,0,0,5,46
"A_C_D_contig_10074",100,92,106,2,59
"A_C_D_contig_10075",79,83,97,5,42
"A_C_D_contig_10076",79,83,97,6,42
"A_C_D_contig_10077",0,0,0,6,42
"A_C_D_contig_10078",19,19,22,3,39
"A_C_D_contig_10079",52,49,50,6,71
"A_C_D_contig_1008",25,26,33,3,76
"A_C_D_contig_10080",0,0,0,2,11
"A_C_D_contig_10081",0,0,0,8,85
"A_C_D_contig_10082",0,0,0,8,33
"A_C_D_contig_10083",69,69,86,2,31
