Contig,accession
A_C_D_contig_312,PF00162.14
A_C_D_contig_236,PF00276.15
A_C_D_contig_236,PF00281.14
A_C_D_contig_236,PF00297.17
A_C_D_contig_236,PF00347.18
A_C_D_contig_236,PF00366.15
A_C_D_contig_808,PF00380.14
A_C_D_contig_312,PF00380.14
A_C_D_contig_236,PF00410.14
A_C_D_contig_312,PF00411.14
A_C_D_contig_808,PF00411.14
A_C_D_contig_808,PF00416.17
A_C_D_contig_312,PF00416.17
A_C_D_contig_236,PF00466.15
A_C_D_contig_236,PF00573.17
A_C_D_contig_833,PF00750.14
A_C_D_contig_457,PF00750.14
A_C_D_contig_457,PF01025.14
A_C_D_contig_808,PF01795.14
A_C_D_contig_1043,TIGR00001
A_C_D_contig_236,TIGR00002
A_C_D_contig_236,TIGR00012
A_C_D_contig_236,TIGR00019
A_C_D_contig_508,TIGR00029
A_C_D_contig_10285,TIGR00029
A_C_D_contig_236,TIGR00043
A_C_D_contig_312,TIGR00059
A_C_D_contig_808,TIGR00059
A_C_D_contig_236,TIGR00060
A_C_D_contig_457,TIGR00061
A_C_D_contig_169,TIGR00062
A_C_D_contig_155,TIGR00082
A_C_D_contig_1043,TIGR00086
A_C_D_contig_155,TIGR00092
A_C_D_contig_155,TIGR00115
A_C_D_contig_236,TIGR00116
A_C_D_contig_169,TIGR00158
A_C_D_contig_19,TIGR00165
A_C_D_contig_1043,TIGR00168
A_C_D_contig_457,TIGR00234
A_C_D_contig_169,TIGR00337
A_C_D_contig_808,TIGR00344
A_C_D_contig_457,TIGR00344
A_C_D_contig_508,TIGR00362
A_C_D_contig_833,TIGR00392
A_C_D_contig_833,TIGR00396
A_C_D_contig_312,TIGR00409
A_C_D_contig_312,TIGR00414
A_C_D_contig_236,TIGR00418
A_C_D_contig_808,TIGR00420
A_C_D_contig_457,TIGR00420
A_C_D_contig_341,TIGR00422
A_C_D_contig_457,TIGR00435
A_C_D_contig_236,TIGR00442
A_C_D_contig_1000,TIGR00442
A_C_D_contig_312,TIGR00459
A_C_D_contig_477,TIGR00460
A_C_D_contig_457,TIGR00468
A_C_D_contig_457,TIGR00472
A_C_D_contig_155,TIGR00487
A_C_D_contig_312,TIGR00496
A_C_D_contig_812,TIGR00575
A_C_D_contig_19,TIGR00631
A_C_D_contig_508,TIGR00663
A_C_D_contig_1043,TIGR00810
A_C_D_contig_236,TIGR00855
A_C_D_contig_236,TIGR00922
A_C_D_contig_508,TIGR00952
A_C_D_contig_3010,TIGR00963
A_C_D_contig_236,TIGR00964
A_C_D_contig_236,TIGR00967
A_C_D_contig_236,TIGR00981
A_C_D_contig_236,TIGR01009
A_C_D_contig_236,TIGR01011
A_C_D_contig_808,TIGR01017
A_C_D_contig_312,TIGR01017
A_C_D_contig_236,TIGR01021
A_C_D_contig_508,TIGR01024
A_C_D_contig_236,TIGR01029
A_C_D_contig_508,TIGR01030
A_C_D_contig_236,TIGR01031
A_C_D_contig_1043,TIGR01032
A_C_D_contig_236,TIGR01044
A_C_D_contig_236,TIGR01049
A_C_D_contig_236,TIGR01050
A_C_D_contig_812,TIGR01059
A_C_D_contig_508,TIGR01063
A_C_D_contig_312,TIGR01066
A_C_D_contig_808,TIGR01066
A_C_D_contig_236,TIGR01067
A_C_D_contig_236,TIGR01071
A_C_D_contig_236,TIGR01079
A_C_D_contig_236,TIGR01164
A_C_D_contig_236,TIGR01169
A_C_D_contig_236,TIGR01171
A_C_D_contig_30,TIGR01391
A_C_D_contig_169,TIGR01393
A_C_D_contig_236,TIGR01632
A_C_D_contig_155,TIGR01953
A_C_D_contig_19,TIGR02012
A_C_D_contig_19,TIGR02013
A_C_D_contig_808,TIGR02027
A_C_D_contig_312,TIGR02027
A_C_D_contig_236,TIGR02191
A_C_D_contig_457,TIGR02350
A_C_D_contig_19,TIGR02386
A_C_D_contig_508,TIGR02432
A_C_D_contig_218,TIGR02729
A_C_D_contig_1262,PF00276.15
A_C_D_contig_724,PF00276.15
A_C_D_contig_724,PF00281.14
A_C_D_contig_724,PF00366.15
A_C_D_contig_1262,PF00366.15
A_C_D_contig_1262,PF00573.17
A_C_D_contig_1262,TIGR01009
A_C_D_contig_724,TIGR01009
A_C_D_contig_724,TIGR01044
A_C_D_contig_1262,TIGR01044
A_C_D_contig_1262,TIGR01050
A_C_D_contig_724,TIGR01050
A_C_D_contig_1262,TIGR01067
A_C_D_contig_724,TIGR01067
A_C_D_contig_724,TIGR01079
A_C_D_contig_1262,TIGR01164
A_C_D_contig_724,TIGR01164
A_C_D_contig_724,TIGR01171
A_C_D_contig_6453,TIGR02397
A_C_D_contig_1306,TIGR00389
